2019-05-29 21:39:00 - [OK] Servidor iniciado.
2019-05-29 21:39:00 - [OK] threads inicializadas.
2019-05-29 21:39:00 - [OK] Socket criado. Aguardando conexões...
2019-05-29 21:39:06 - [OK] Socket adicionado à fila.
2019-05-29 21:39:06 - [OK] Socket removido da fila.
2019-05-29 21:39:06 - [OK] Thread desbloqueada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
2019-05-29 21:39:06 - [ERRO] Mensagem de boas-vindas enviada.
